18.177,0.189,1,0.391
3.480,0.216,0,0.000
28.377,0.216,1,0.684
21.198,0.220,1,0.373
10.924,0.296,1,0.264
0.598,0.343,1,0.157
15.554,0.351,1,0.416
25.694,0.353,2,0.613
9.600,0.396,1,0.447
6.695,0.445,1,0.465
20.035,0.491,1,0.219
30.223,0.512,1,0.728
23.016,0.525,1,0.395
12.764,0.537,1,0.369
17.241,0.597,2,0.511
27.470,0.627,2,0.537
2.448,0.645,1,0.369
11.473,0.734,0,0.000
21.841,0.762,0,0.197
8.585,0.762,1,0.370
7.012,0.778,1,0.532
14.606,0.799,1,0.554
24.790,0.868,1,0.474
29.292,0.880,2,0.716
4.331,0.905,1,0.396
19.093,0.914,2,0.291
13.247,0.997,1,0.146
23.671,1.079,1,0.718
8.896,1.093,1,0.513
16.442,1.097,0,0.473
26.571,1.116,1,0.568
6.018,1.168,1,0.531
1.792,1.223,1,0.373
20.967,1.235,2,0.462
15.123,1.299,1,0.376
28.394,1.315,1,0.638
12.232,1.331,1,0.618
10.758,1.360,1,0.524
25.493,1.384,1,0.509
18.259,1.392,1,0.542
0.418,1.404,0,0.000
22.675,1.449,2,0.705
6.504,1.462,1,0.296
7.898,1.497,1,0.759
3.647,1.532,1,0.403
30.198,1.560,1,0.633
17.002,1.612,1,0.571
12.605,1.612,1,0.202
20.002,1.656,1,0.591
27.295,1.681,1,0.895
14.139,1.687,2,0.549
2.250,1.706,1,0.014
9.767,1.767,1,0.500
24.519,1.783,2,1.000
8.386,1.801,1,0.462
5.512,1.840,1,0.580
18.852,1.935,1,0.425
29.060,1.956,1,0.867
4.111,1.959,1,0.305
16.015,2.001,2,0.521
21.845,2.005,1,0.760
11.613,2.035,1,0.613
26.339,2.068,2,1.000
10.258,2.077,1,0.491
7.369,2.166,1,0.633
20.669,2.183,1,0.960
5.907,2.238,1,0.623
23.668,2.262,1,0.692
13.468,2.292,1,0.608
1.620,2.294,1,0.410
17.884,2.323,1,0.678
28.153,2.379,2,0.883
3.126,2.388,1,0.693
12.091,2.390,1,0.207
25.382,2.441,1,0.530
9.241,2.478,1,0.574
22.514,2.481,1,0.749
7.756,2.544,1,0.570
15.290,2.548,1,0.568
29.948,2.624,2,0.938
19.740,2.653,2,0.699
4.946,2.661,1,0.509
0.610,2.701,1,0.451
13.953,2.728,1,0.617
27.226,2.753,1,0.575
11.092,2.774,1,0.731
17.133,2.823,1,0.456
24.356,2.827,1,0.952
9.605,2.833,1,0.512
21.534,2.882,2,0.612
5.322,2.893,1,0.284
6.765,2.949,1,0.567
2.473,3.022,1,0.479
15.808,3.023,1,0.619
18.825,3.060,1,0.607
29.038,3.064,1,0.633
12.950,3.096,1,0.760
11.453,3.102,1,0.557
26.151,3.127,1,0.912
1.118,3.176,1,0.019
23.373,3.183,2,1.000
7.174,3.208,1,0.547
8.622,3.230,1,0.714
4.314,3.273,1,0.642
17.681,3.335,1,0.657
13.297,3.342,1,0.279
20.719,3.371,1,0.766
27.966,3.403,0,0.252
2.966,3.449,0,0.000
9.047,3.508,1,0.496
10.479,3.515,1,0.548
25.184,3.515,2,0.966
15.073,3.570,1,0.428
0.148,3.579,0,0.000
6.167,3.584,1,0.589
22.491,3.610,1,0.591
19.506,3.613,0,0.220
29.732,3.681,1,0.857
4.809,3.748,1,0.265
27.046,3.784,2,0.959
12.326,3.786,1,0.635
10.898,3.825,1,0.707
8.034,3.891,1,0.669
16.920,3.891,2,0.902
21.321,3.903,1,0.754
2.027,3.905,1,0.420
24.229,3.916,1,0.642
6.620,3.987,0,0.377
14.170,4.039,1,0.621
28.766,4.042,2,1.000
18.623,4.062,2,0.234
12.752,4.129,1,0.690
26.078,4.178,1,0.648
9.894,4.191,1,0.693
23.192,4.224,1,0.746
4.010,4.263,2,0.130
15.929,4.275,1,0.664
8.471,4.318,1,0.660
1.306,4.326,1,0.409
30.604,4.345,2,0.862
20.520,4.394,2,0.621
27.939,4.475,1,0.577
14.628,4.477,1,0.744
11.744,4.515,1,0.565
24.987,4.516,0,0.056
10.327,4.592,1,0.562
17.743,4.598,1,0.557
22.224,4.609,2,0.852
5.959,4.625,1,0.438
3.100,4.678,1,0.586
29.703,4.682,1,0.546
7.466,4.685,1,0.622
16.454,4.765,1,0.891
26.783,4.815,1,0.999
19.533,4.827,1,0.741
13.614,4.831,1,0.795
12.162,4.855,0,0.197
24.069,4.892,2,0.991
7.843,4.942,2,0.897
1.877,4.973,0,0.000
9.334,4.977,1,0.759
4.979,5.035,1,0.544
18.333,5.043,1,0.678
21.372,5.056,1,0.746
13.971,5.082,1,0.609
28.600,5.110,1,0.896
25.850,5.184,2,0.917
15.473,5.189,2,0.549
3.675,5.237,1,0.275
11.164,5.242,1,0.574
9.710,5.274,1,0.777
23.217,5.292,1,0.698
20.130,5.321,1,0.680
6.852,5.346,1,0.530
0.966,5.368,1,0.213
30.413,5.414,1,0.679
17.348,5.435,1,0.492
5.505,5.454,1,0.435
27.666,5.496,2,0.917
12.975,5.540,1,0.700
24.898,5.547,1,0.742
